ID,Barcode,Nombre,UsageType (Masculino/Femenino/Universal),TargetAnatomy (Prostata/Clitoris/Vaginal/Anal/Universal),StimulationType (Vibracion/Succion/Empuje/Calentamiento/Interactivo),MotorLogic (Single Channel/Dual Channel)
8095,8095,"ZAHT095",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8097,8097,"ZAGS024",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8099,8099,"AAFJ102",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8100,8100,"AASJ267",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8101,8101,"ZAGS013",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8104,8104,"AATD616",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8107,8107,"AAZD023",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8109,8109,"谦度TD001",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8110,8110,"R3",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8111,8111,"AAPJ008",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8112,8112,"AAFJ105",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8114,8114,"AAQLX003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8122,8122,"MATD021",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8124,8124,"AASJ103",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8125,8125,"AAHT126",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8127,8127,"AATD465",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8129,8129,"AASJ077",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8131,8131,"YCGS001",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8144,8144,"TD001",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8148,8148,"HCTC-SJH011",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8153,8153,"AATD734",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8154,8154,"骑士3号",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8155,8155,"0067",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8157,8157,"AAHT187",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8158,8158,"AAHT002",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8159,8159,"AAHT002",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8170,8170,"ZAYJ030",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8172,8172,"ZAZD005",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8182,8182,"186",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8185,8185,"ZAHT071",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8187,8187,"AAZD170",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8188,8188,"AASJ209",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8190,8190,"谦度TD001",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8191,8191,"AAZD210",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8193,8193,"BCTD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8195,8195,"Pequeño Cohete",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8201,8201,"ZBTD021",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8202,8202,"NBQ-G209",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8203,8203,"AATD224",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8205,8205,"YEHT017",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8208,8208,"LBTYHT001",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8211,8211,"ZBZD006",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8214,8214,"YEGS005",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8215,8215,"20宫格测试",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8218,8218,"G204",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8219,8219,"YJ-013",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8221,8221,"AATD608",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8223,8223,"AAGS123",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8225,8225,"YAI707S-004",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8231,8231,"Mariposa Soñada",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8239,8239,"AAYJ081",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8240,8240,"BCTD005",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8241,8241,"EW900",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8244,8244,"ZASJ039",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8245,8245,"YJ-012",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8247,8247,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8248,8248,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8249,8249,"AASJ147",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8252,8252,"AAZD123",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8253,8253,"AAGS016",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8257,8257,"ZATD084",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8258,8258,"AATD704",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8259,8259,"AATD409",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8271,8271,"YAI707W-007    ",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8274,8274,"JASJ001",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8275,8275,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8279,8279,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8282,8282,"HETD010",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8283,8283,"MATD022",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8287,8287,"YEGS014",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8288,8288,"YG029",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8289,8289,"AAFJ114",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8292,8292,"AAFJ108",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8295,8295,"AASJ295",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8298,8298,"AIS384",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8299,8299,"AAGS002",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8301,8301,"AATD460",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8304,8304,"277",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8309,8309,"WEYJ001",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8311,8311,"AAZD183",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8312,8312,"AACD006",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8313,8313,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8314,8314,"AAHT002",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8315,8315,"AATD464",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8318,8318,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8320,8320,"Huevo Saltarín Ballenita",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8321,8321,"LG-383",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8322,8322,"AATD749",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8323,8323,"ZATD058",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8327,8327,"BLE KGL",Masculino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8328,8328,"ZBSJ005",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8329,8329,"AASJ219",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8330,8330,"AAZD207",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8331,8331,"AATD723",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8335,8335,"AASJ355",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8338,8338,"ZAYJ031",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8340,8340,"AATD512",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8341,8341,"JCYJ001",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8344,8344,"AAHT197",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8348,8348,"18宫格测试公版-穿戴",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8350,8350,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8351,8351,"JASJ006",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8354,8354,"Alegría del Agua",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8355,8355,"AASJ266",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8359,8359,"AATD306",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8370,8370,"AAHT111",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8374,8374,"0822D",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8375,8375,"WB-0822D",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8380,8380,"AAZD090",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8381,8381,"XDHT001",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8384,8384,"AATD762",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8385,8385,"AAZD212",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8388,8388,"AB0236",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8390,8390,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8391,8391,"AATD744",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8392,8392,"Por Definir",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8395,8395,"RAGS002",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8399,8399,"AAHT002",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8400,8400,"PBHT009",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8401,8401,"AASJ325",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8402,8402,"AASJ347",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8403,8403,"WLS-001",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8414,8414,"TD001",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8415,8415,"LY-007B",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8417,8417,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8420,8420,"ZAYJ017",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8422,8422,"AATD523",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8425,8425,"AAHT002",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8431,8431,"AATD697",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8437,8437,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8438,8438,"AAHT319",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8439,8439,"AASJ343",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8440,8440,"Xie Yong Pendiente",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8442,8442,"ZASJ079",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8443,8443,"AASJ137",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8444,8444,"AASJ038",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8447,8447,"YDTD002",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8448,8448,"SCHT001",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8449,8449,"AAFJ111",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8450,8450,"AAHT205",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8452,8452,"AAZD211",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8454,8454,"Fei Tian Run",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8455,8455,"ZATD078",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8459,8459,"AAGS002",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8472,8472,"ZAZD058",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8473,8473,"KJ005B",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8474,8474,"JY021",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8475,8475,"悦蕾CD20-APP",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8477,8477,"ZD001",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8481,8481,"AAFJ128",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8487,8487,"AAGS002",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8493,8493,"XDTD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8495,8495,"YCTD020",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8497,8497,"2DAA",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8499,8499,"AASJ076",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8500,8500,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8503,8503,"AATD657",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8509,8509,"Cici Magnético Vestible",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8510,8510,"HB-2112",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8512,8512,"AAZD056",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8513,8513,"ZDTD024",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8514,8514,"AATD548",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8519,8519,"170",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8520,8520,"AAHT084",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8525,8525,"042",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8527,8527,"AAHT002",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8530,8530,"ZATD095",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8533,8533,"AASJ335",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8534,8534,"AATD764",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8535,8535,"AATD421",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8538,8538,"AASJ204",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8540,8540,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8542,8542,"AAHT282",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8547,8547,"20DH",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8548,8548,"ZESJ001",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8549,8549,"兔子锁精环APP版",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8551,8551,"AATD231",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8554,8554,"AAZD167",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8558,8558,"ZATD089",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8559,8559,"AASJ315",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8571,8571,"AACD008",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8577,8577,"YCTD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8578,8578,"TD001",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8579,8579,"B05",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8587,8587,"O25",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8588,8588,"左拉测试8+8+8",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8589,8589,"LBTYSJ001",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8591,8591,"Bola Eléctrica",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8594,8594,"AAGS002",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8595,8595,"Tren de Potencia",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8597,8597,"JCSJ002",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8598,8598,"GM002",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8599,8599,"ZATD068",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8700,8700,"HEGS002",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8703,8703,"AAFJ110",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8704,8704,"AAGS002",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8708,8708,"AAZD136",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8710,8710,"AATD656",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8711,8711,"AATD539",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8713,8713,"AASJ281",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8715,8715,"ZAYJ018",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8717,8717,"AATD004",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8721,8721,"AAZD061",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8722,8722,"AR-043",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8724,8724,"AASJ316",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8728,8728,"佩蒂JX035",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8729,8729,"贝挺3代",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8731,8731,"BCHT003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8732,8732,"YCTD012",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8738,8738,"Xiao Lang Vestible",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8740,8740,"Bola Mágica",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8742,8742,"ZAZD056",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8745,8745,"ZAGS032",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8747,8747,"AIS206",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8749,8749,"PCBA-ZX-ZDT602(TD-C2)-M",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8754,8754,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8757,8757,"AAHT340",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8759,8759,"Lao Sun Pendiente",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8770,8770,"AAFJ132",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8772,8772,"ZATD081",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8773,8773,"Anal Retráctil Negro",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8777,8777,"AATD745",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8779,8779,"AAHT066",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8780,8780,"8+8+8加热",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8783,8783,"ZAGS017",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8784,8784,"ZAHT102",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8785,8785,"YEHT021",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8788,8788,"AASJ274",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8791,8791,"ZAHT052",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8794,8794,"23009",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8798,8798,"AATD337",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8800,8800,"AAZD031",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8802,8802,"AASJ328",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8804,8804,"CAYJ008",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8809,8809,"AAGS143",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8811,8811,"LCHT005",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8815,8815,"AATD593",Masculino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8819,8819,"ZBZD005",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8820,8820,"AATD586",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8823,8823,"AAHT148",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8824,8824,"WFGS001",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8825,8825,"Código Prueba Doble Motor Estándar",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8828,8828,"AAGS002",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8830,8830,"PN005",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8831,8831,"优利卡-APP",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8834,8834,"LATD008",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8837,8837,"AATD581",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8838,8838,"AATD373",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8842,8842,"Huevo Saltarín Cabeza Gato",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8848,8848,"AAZD209",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8849,8849,"0067",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8852,8852,"ZASJ078",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8853,8853,"AAHT231",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8854,8854,"AASJ207",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8857,8857,"AASJ272",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8870,8870,"Rey del Ano",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8873,8873,"JBTD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8874,8874,"AAHT002",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8875,8875,"ZAHT058",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8880,8880,"AKSM-Xman023",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8884,8884,"舌舔QZ-001",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8885,8885,"AATD534",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8887,8887,"RPSJ004",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8888,8888,"AAGS098",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8889,8889,"ZASJ059",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8891,8891,"MQ-005",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8892,8892,"AS-AS433",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8893,8893,"AATD564",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8894,8894,"AAHT312",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8895,8895,"XCM-202",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8897,8897,"ZAHT082",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8898,8898,"Doble Bola",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8899,8899,"AATD222",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8900,8900,"CD35",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8901,8901,"HESJ017",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8903,8903,"YDTD005",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8909,8909,"YDGS002",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8912,8912,"AAZD028",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
